Maladie,Rang,Gène,ID Gène,Score IA,Confiance,Deg. gène
D_ORPHA:528084,1,WASHC5,9897,0.9867,🔴 TRÈS HAUTE,4
D_ORPHA:528084,2,CCDC22,28952,0.9867,🔴 TRÈS HAUTE,2
D_ORPHA:528084,3,VPS35L,57020,0.9867,🔴 TRÈS HAUTE,2
D_ORPHA:528084,4,BRPF1,7862,0.9867,🔴 TRÈS HAUTE,2
D_ORPHA:528084,5,SLC2A3,6515,0.9733,🔴 TRÈS HAUTE,1
D_ORPHA:791,1,HP,3240,1.0,🔴 TRÈS HAUTE,1
D_ORPHA:791,2,GRK1,6011,0.9733,🔴 TRÈS HAUTE,2
D_ORPHA:791,3,GNAT1,2779,0.9667,🔴 TRÈS HAUTE,3
D_ORPHA:791,4,CLCF1,23529,0.9133,🔴 TRÈS HAUTE,3
D_ORPHA:791,5,AIPL1,23746,0.86,🔴 TRÈS HAUTE,4
D_ORPHA:90636,1,SLC12A3,6559,0.8933,🔴 TRÈS HAUTE,2
D_ORPHA:90636,2,USH1G,124590,0.8667,🔴 TRÈS HAUTE,2
D_ORPHA:90636,3,OR2J3,442186,0.817,🔴 TRÈS HAUTE,1
D_ORPHA:90636,4,IVNS1ABP,10625,0.7848,🔴 TRÈS HAUTE,1
D_ORPHA:90636,5,ARFGEF1,10565,0.7848,🔴 TRÈS HAUTE,1
D_ORPHA:88616,1,TAF8,129685,1.0,🔴 TRÈS HAUTE,1
D_ORPHA:88616,2,MRPS25,64432,1.0,🔴 TRÈS HAUTE,1
D_ORPHA:88616,3,SEC31A,22872,1.0,🔴 TRÈS HAUTE,1
D_ORPHA:88616,4,NTRK3,4916,0.9467,🔴 TRÈS HAUTE,3
D_ORPHA:88616,5,TRIM27,5987,0.9333,🔴 TRÈS HAUTE,1
D_ORPHA:244,1,CYP2B6,1555,0.9533,🔴 TRÈS HAUTE,1
D_ORPHA:244,2,STX4,6810,0.9533,🔴 TRÈS HAUTE,1
D_ORPHA:244,3,ARL2,402,0.9533,🔴 TRÈS HAUTE,1
D_ORPHA:244,4,GOT1,2805,0.9533,🔴 TRÈS HAUTE,1
D_ORPHA:244,5,ACSL5,51703,0.9469,🔴 TRÈS HAUTE,1
